geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.84507486725,47.1951503351,0 7.85739032274,47.2021230652,0 7.86070181179,47.2002398435,0 7.86334894028,47.1928354829,0 7.88209481824,47.1775617356,0 7.88417469201,47.1738203845,0 7.8780242766,47.1670700303,0 7.86333162876,47.165685769,0 7.85943614296,47.1567490549,0 7.85368626939,47.155087663,0 7.84981761966,47.1579352734,0 7.85272332789,47.1670108062,0 7.83467732387,47.1704927046,0 7.8348009351,47.1782917631,0 7.82962429392,47.1812690996,0 7.83962955384,47.1870640877,0 7.84507486725,47.1951503351,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,333,244,2,Melchnau,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.82103185122,47.1901229116,0 7.81332880187,47.192559101,0 7.81066905429,47.2010418327,0 7.81382455874,47.2068159526,0 7.83262774907,47.2146965974,0 7.84342317262,47.2106110774,0 7.83850401547,47.197152409,0 7.82487068086,47.1954176955,0 7.82103185122,47.1901229116,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,334,244,2,Obersteckholz,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.7391605071,47.1220231908,0 7.74011024682,47.1198166878,0 7.74796142291,47.1214601397,0 7.76047893919,47.1165230199,0 7.76291608214,47.109832131,0 7.7566277278,47.1004308019,0 7.74242077772,47.1019175159,0 7.74250203294,47.1069640815,0 7.7288714523,47.1082136928,0 7.7317147256,47.1149355208,0 7.7391605071,47.1220231908,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,335,244,2,Oeschenbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.83467732387,47.1704927046,0 7.85272332789,47.1670108062,0 7.84981761966,47.1579352734,0 7.85368626939,47.155087663,0 7.85034499251,47.1527606934,0 7.85062774881,47.1552335817,0 7.84406070545,47.1553198513,0 7.8375917803,47.1561880568,0 7.83237213187,47.1637716265,0 7.83467732387,47.1704927046,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,336,244,2,Reisiswil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.79430777001,47.2456856843,0 7.81769927677,47.2544180901,0 7.82862814954,47.254696537,0 7.82711429299,47.2481887089,0 7.8397986613,47.2360819596,0 7.83943332624,47.2243346876,0 7.83408329434,47.2169225873,0 7.80744560001,47.2351463837,0 7.80010872235,47.2341800597,0 7.79188381534,47.2387034165,0 7.79430777001,47.2456856843,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,337,244,2,Roggwil BE,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.82590373316,47.1228887112,0 7.80152765773,47.1259008121,0 7.79198066791,47.1312921224,0 7.79472344721,47.1373829694,0 7.80278195588,47.141747827,0 7.8235431911,47.1410775974,0 7.82947388883,47.1244689491,0 7.82590373316,47.1228887112,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,338,244,2,Rohrbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.78664122535,47.1311914283,0 7.79198066791,47.1312921224,0 7.80152765773,47.1259008121,0 7.82590373316,47.1228887112,0 7.8081445887,47.1010416601,0 7.81013817775,47.097841633,0 7.78783182052,47.0994317957,0 7.79341310036,47.1166691746,0 7.79103726499,47.122128067,0 7.7926265366,47.1252897951,0 7.78664122535,47.1311914283,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,339,244,2,Rohrbachgraben,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.75623593905,47.1656078343,0 7.77373728575,47.1862938634,0 7.78237457128,47.1853688538,0 7.78773906765,47.1743057655,0 7.77200723836,47.1627295923,0 7.75888112277,47.1579539759,0 7.75623593905,47.1656078343,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,340,244,2,Rütschelen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.75939956356,47.2490533961,0 7.74677731405,47.2503921441,0 7.75792904109,47.259447529,0 7.76581748977,47.2680613268,0 7.7756708541,47.2692474163,0 7.77681936569,47.2627671542,0 7.78715828698,47.2574559282,0 7.78319530454,47.2535096998,0 7.75939956356,47.2490533961,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,341,244,2,SchwarzhA$?usern,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.72240113376,47.2103334996,0 7.7346488947,47.2216734337,0 7.75966806041,47.2233247631,0 7.76516417266,47.225963105,0 7.76940461775,47.224061914,0 7.76279171846,47.220167503,0 7.76756186514,47.2121297398,0 7.76863665195,47.2044352335,0 7.76363297696,47.202128509,0 7.76668252268,47.2000418374,0 7.73910775603,47.1832407123,0 7.73125052531,47.1941908792,0 7.73357065486,47.2081015273,0 7.72369999297,47.2063271627,0 7.72240113376,47.2103334996,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,342,244,2,Thunstetten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.76291608214,47.109832131,0 7.76047893919,47.1165230199,0 7.74796142291,47.1214601397,0 7.74011024682,47.1198166878,0 7.7391605071,47.1220231908,0 7.73533938286,47.1269808926,0 7.74892183362,47.1394045632,0 7.753274221,47.1351826444,0 7.76023239941,47.1369626334,0 7.77222526111,47.1490101369,0 7.78524310758,47.1494305147,0 7.78231435854,47.1348208113,0 7.78664122535,47.1311914283,0 7.7926265366,47.1252897951,0 7.79103726499,47.122128067,0 7.78199001999,47.1253399844,0 7.76966810302,47.1213998124,0 7.76866496552,47.1125865817,0 7.76291608214,47.109832131,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,344,244,2,Ursenbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.79430777001,47.2456856843,0 7.78319530454,47.2535096998,0 7.78715828698,47.2574559282,0 7.80320303005,47.269640565,0 7.8157622859,47.2626645319,0 7.82612705037,47.2669301707,0 7.82963557596,47.2641836406,0 7.82862814954,47.254696537,0 7.81769927677,47.2544180901,0 7.79430777001,47.2456856843,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,345,244,2,Wynau,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.63630817731,47.0870440264,0 7.63591850767,47.0921274522,0 7.64209934289,47.0963898276,0 7.64589217953,47.0995136895,0 7.65601348537,47.1003676708,0 7.65702949699,47.1104862605,0 7.65444466693,47.1165184399,0 7.67167779053,47.127675907,0 7.6848538838,47.1294297332,0 7.68862967412,47.1335147746,0 7.70341070744,47.1368462738,0 7.72078387898,47.1162672258,0 7.72610552519,47.1133483604,0 7.73108056738,47.1146402635,0 7.7317147256,47.1149355208,0 7.7288714523,47.1082136928,0 7.74250203294,47.1069640815,0 7.74242077772,47.1019175159,0 7.7360083146,47.088314217,0 7.72991630589,47.0822124556,0 7.70886080541,47.0776577926,0 7.70041211063,47.0815456161,0 7.69561842629,47.0760688045,0 7.68066636531,47.0894153573,0 7.66595702292,47.0933765751,0 7.65574329265,47.0921817961,0 7.64541111767,47.0840413785,0 7.63630817731,47.0870440264,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",28,424,245,2,Wynigen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.09989398377,47.2122127083,0 7.11642115481,47.2125301882,0 7.14133790875,47.2188765412,0 7.15468399605,47.2169492741,0 7.15818271672,47.2119652152,0 7.15736408388,47.1919924746,0 7.16688471114,47.1676366276,0 7.14602089206,47.1596058672,0 7.14035910743,47.1579000336,0 7.12258457329,47.1861715076,0 7.11959378016,47.2008264807,0 7.10333624731,47.2043784494,0 7.0983581078,47.208771755,0 7.09989398377,47.2122127083,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,431,241,2,Corgémont,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.01700582139,47.1961323592,0 7.02652480067,47.1991535755,0 7.04679120539,47.1839765044,0 7.05918274851,47.1819491003,0 7.06160194374,47.1663761187,0 7.0767873165,47.1387624273,0 7.0545192674,47.1332923474,0 7.04169753365,47.1592021352,0 7.01738882939,47.1860763236,0 7.01700582139,47.1961323592,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,432,241,2,Cormoret,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.0983581078,47.208771755,0 7.10333624731,47.2043784494,0 7.11959378016,47.2008264807,0 7.12258457329,47.1861715076,0 7.14035910743,47.1579000336,0 7.10321471003,47.1461025874,0 7.0982358657,47.1617858547,0 7.10258006627,47.1735833375,0 7.0963648618,47.1799790368,0 7.08807963709,47.2059520996,0 7.0983581078,47.208771755,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,433,241,2,Cortébert,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.02652480067,47.1991535755,0 7.03446148406,47.2090592808,0 7.03587176987,47.2111063003,0 7.04211488202,47.2006478419,0 7.05733413513,47.204279778,0 7.08807963709,47.2059520996,0 7.0963648618,47.1799790368,0 7.10258006627,47.1735833375,0 7.0982358657,47.1617858547,0 7.10321471003,47.1461025874,0 7.0767873165,47.1387624273,0 7.06160194374,47.1663761187,0 7.05918274851,47.1819491003,0 7.04679120539,47.1839765044,0 7.02652480067,47.1991535755,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,434,241,2,Courtelary,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>6.86239959116,47.1668979819,0 6.87295518824,47.1753618197,0 6.88461276258,47.1517230083,0 6.90695101377,47.1584678099,0 6.9168741908,47.1647026511,0 6.93491644479,47.1370124167,0 6.91230464582,47.1238035176,0 6.90230399106,47.122155862,0 6.88711554083,47.1251874893,0 6.88958397053,47.1325311944,0 6.86239959116,47.1668979819,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,435,241,2,"La Ferrière",
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.22974870658,47.2091763645,0 7.23864859777,47.1840219746,0 7.23104935388,47.1803471369,0 7.23003565868,47.1764051104,0 7.20306255484,47.1748055013,0 7.19941506561,47.1908825264,0 7.20835056813,47.2027933111,0 7.21809213312,47.2091275277,0 7.22799276436,47.2092181276,0 7.22974870658,47.2091763645,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,436,241,2,La Heutte,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.03587176987,47.2111063003,0 7.04527447862,47.2232293268,0 7.05044137903,47.2172736777,0 7.04941745653,47.2128442523,0 7.07213136007,47.2081512316,0 7.09989398377,47.2122127083,0 7.0983581078,47.208771755,0 7.08807963709,47.2059520996,0 7.05733413513,47.204279778,0 7.04211488202,47.2006478419,0 7.03587176987,47.2111063003,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,437,241,2,Mont-Tramelan,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.16688471114,47.1676366276,0 7.20306255484,47.1748055013,0 7.23003565868,47.1764051104,0 7.23688365855,47.1727380798,0 7.25369561736,47.1713181562,0 7.25413737778,47.1694657217,0 7.22850995438,47.1551630445,0 7.19185807868,47.138600346,0 7.17099623413,47.1316895524,0 7.15439772298,47.1469156997,0 7.14602089206,47.1596058672,0 7.16688471114,47.1676366276,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,438,241,2,Orvin,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.23003565868,47.1764051104,0 7.23104935388,47.1803471369,0 7.23864859777,47.1840219746,0 7.22974870658,47.2091763645,0 7.25162095619,47.2135951172,0 7.27517393962,47.2136311812,0 7.29700994637,47.2188688494,0 7.32016085342,47.2167092379,0 7.32123219122,47.2099005594,0 7.2935494668,47.2047861425,0 7.25571973422,47.1888273199,0 7.25541056404,47.1713209161,0 7.25369561736,47.1713181562,0 7.23688365855,47.1727380798,0 7.23003565868,47.1764051104,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,439,241,2,Péry,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.25541056404,47.1713209161,0 7.25571973422,47.1888273199,0 7.2935494668,47.2047861425,0 7.32123219122,47.2099005594,0 7.3150633504,47.2058459535,0 7.27607549923,47.1778831481,0 7.25541056404,47.1713209161,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,440,241,2,Plagne,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>6.86775810479,47.0864540311,0 6.87268119568,47.1041560391,0 6.88187291053,47.1096887317,0 6.88711554083,47.1251874893,0 6.90230399106,47.122155862,0 6.91230464582,47.1238035176,0 6.93491644479,47.1370124167,0 6.93844893323,47.1300559007,0 6.93211316221,47.1267714947,0 6.94020803282,47.1110637441,0 6.92743109721,47.110530678,0 6.91903740273,47.1064446634,0 6.88695693374,47.0933222251,0 6.86775810479,47.0864540311,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,441,241,2,Renan BE,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.32841224821,47.2169873777,0 7.34134794518,47.2188702616,0 7.34578932346,47.2085378522,0 7.33909007847,47.2048529277,0 7.34029439566,47.1960830884,0 7.35267130239,47.1897330792,0 7.34121603821,47.1829500068,0 7.32989223002,47.1842441568,0 7.30384096803,47.1806450148,0 7.30591834359,47.1835710917,0 7.3251773397,47.1862186424,0 7.3150633504,47.2058459535,0 7.32123219122,47.2099005594,0 7.32016085342,47.2167092379,0 7.32841224821,47.2169873777,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,442,241,2,Romont BE,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>6.95303534329,47.188709776,0 6.961291464,47.1833558204,0 6.9713652214,47.1826865954,0 6.97791262858,47.1762629537,0 6.98546209171,47.1774804866,0 6.9962056955,47.1706404951,0 7.00150214005,47.1730717199,0 7.00523643552,47.171349665,0 7.01235871482,47.1632799706,0 7.01541552416,47.1437429693,0 7.0390967312,47.1278419982,0 7.02650019286,47.1255033995,0 7.007001871,47.1243521002,0 6.98541292526,47.1180434751,0 6.98728086997,47.1418454603,0 6.94122356771,47.1817322896,0 6.94623088268,47.1867466532,0 6.95303534329,47.188709776,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,443,241,2,Saint-Imier,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.16688471114,47.1676366276,0 7.15736408388,47.1919924746,0 7.15818271672,47.2119652152,0 7.15468399605,47.2169492741,0 7.17480439834,47.2145684671,0 7.20835056813,47.2027933111,0 7.19941506561,47.1908825264,0 7.20306255484,47.1748055013,0 7.16688471114,47.1676366276,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,444,241,2,Sonceboz-Sombeval,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>6.93491644479,47.1370124167,0 6.9168741908,47.1647026511,0 6.93359094921,47.1726129876,0 6.94122356771,47.1817322896,0 6.98728086997,47.1418454603,0 6.98541292526,47.1180434751,0 6.97277601622,47.1163285304,0 6.95283079217,47.1140866627,0 6.94020803282,47.1110637441,0 6.93211316221,47.1267714947,0 6.93844893323,47.1300559007,0 6.93491644479,47.1370124167,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,445,241,2,Sonvilier,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.04527447862,47.2232293268,0 7.04778772729,47.2280416817,0 7.0595488112,47.232534042,0 7.05783151984,47.2418210145,0 7.0589714217,47.2431291769,0 7.08041006896,47.2491532498,0 7.08050559067,47.2447726134,0 7.08808217115,47.2396774034,0 7.09714731768,47.2390840172,0 7.10423288674,47.2444933355,0 7.1409139121,47.2451160876,0 7.15132267629,47.2477333879,0 7.15438494101,47.2383404727,0 7.14937919347,47.2358541313,0 7.14133790875,47.2188765412,0 7.11642115481,47.2125301882,0 7.09989398377,47.2122127083,0 7.07213136007,47.2081512316,0 7.04941745653,47.2128442523,0 7.05044137903,47.2172736777,0 7.04527447862,47.2232293268,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21,446,241,2,Tramelan,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.25413737778,47.1694657217,0 7.25369561736,47.1713181562,0 7.25541056404,47.1713209161,0 7.27607549923,47.1778831481,0 7.3150633504,47.2058459535,0 7.3251773397,47.1862186424,0 7.30591834359,47.1835710917,0 7.30384096803,47.1806450148,0 7.29413372253,47.1744260177,0 7.29388529546,47.1784468441,0 7.26603851355,47.1687286498,0 7.25413737778,47.1694657217,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,447,241,2,Vauffelin,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.04088957796,47.1260490252,0 7.0390967312,47.1278419982,0 7.01541552416,47.1437429693,0 7.01235871482,47.1632799706,0 7.00523643552,47.171349665,0 7.00150214005,47.1730717199,0 6.9962056955,47.1706404951,0 6.98546209171,47.1774804866,0 6.99594801762,47.1905655521,0 6.9973258723,47.1946999915,0 7.01700582139,47.1961323592,0 7.01738882939,47.1860763236,0 7.04169753365,47.1592021352,0 7.0545192674,47.1332923474,0 7.04088957796,47.1260490252,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,448,241,2,Villeret,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.13907191883,47.0302155908,0 7.15207792892,47.0338923884,0 7.16555499361,47.0435872561,0 7.17580370708,47.0389242916,0 7.17180141063,47.0366569816,0 7.17514317045,47.0341098272,0 7.15896989203,47.0193716339,0 7.14824150308,47.0086213938,0 7.1372727377,47.0086199773,0 7.13877806363,47.0122404168,0 7.12431990864,47.0217195565,0 7.14282028321,47.0257272608,0 7.13907191883,47.0302155908,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,491,243,2,Brüttelen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.08680575937,47.0350146149,0 7.08538076532,47.0375921308,0 7.09186681226,47.0418671763,0 7.08978891667,47.047699378,0 7.10248520252,47.0463519829,0 7.10706165741,47.0405808023,0 7.09645523028,47.0240685254,0 7.08895474237,47.0182882512,0 7.08604855126,47.0201415448,0 7.09533761313,47.0280684887,0 7.09055633139,47.0349541217,0 7.08680575937,47.0350146149,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,492,243,2,Erlach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.17514317045,47.0341098272,0 7.18170308836,47.0381010667,0 7.18639695585,47.0250131159,0 7.19672180831,47.0168759195,0 7.18441935537,47.0093103863,0 7.18025714319,47.0105785056,0 7.16875788578,47.0217881597,0 7.15896989203,47.0193716339,0 7.17514317045,47.0341098272,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,493,243,2,Finsterhennen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.03802023216,47.0359247112,0 7.05447126577,47.0447254487,0 7.06618666282,47.0463025346,0 7.07920849159,47.0533432106,0 7.0803741392,47.0483270021,0 7.08978891667,47.047699378,0 7.09186681226,47.0418671763,0 7.08538076532,47.0375921308,0 7.08680575937,47.0350146149,0 7.06643040395,47.0320893295,0 7.05235301593,47.0227765386,0 7.04893680762,47.0203899414,0 7.03444282723,47.0217610459,0 7.03417998565,47.0252056798,0 7.03802023216,47.0359247112,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,494,243,2,Gals,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.04133549627,46.9811220015,0 7.04027177844,46.9827466319,0 7.05086678764,46.9882528231,0 7.03804278681,47.0030524832,0 7.02713173218,47.0059465249,0 7.03444282723,47.0217610459,0 7.04893680762,47.0203899414,0 7.05235301593,47.0227765386,0 7.08408662882,47.0144678524,0 7.0819597313,47.0000672373,0 7.04133549627,46.9811220015,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,495,243,2,Gampelen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.04133549627,46.9811220015,0 7.0819597313,47.0000672373,0 7.08408662882,47.0144678524,0 7.08895474237,47.0182882512,0 7.09645523028,47.0240685254,0 7.09892961326,47.0218268505,0 7.10615861531,47.0228556776,0 7.11674665203,47.0297680727,0 7.13907191883,47.0302155908,0 7.14282028321,47.0257272608,0 7.12431990864,47.0217195565,0 7.13877806363,47.0122404168,0 7.1372727377,47.0086199773,0 7.13526560151,47.0030819867,0 7.12817729996,47.003098931,0 7.13882662729,46.9848200134,0 7.09049314447,46.9779807019,0 7.05866875012,46.9781851749,0 7.04133549627,46.9811220015,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,496,243,2,Ins,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.18453632272,47.0455562085,0 7.18170308836,47.0381010667,0 7.17514317045,47.0341098272,0 7.17180141063,47.0366569816,0 7.17580370708,47.0389242916,0 7.16555499361,47.0435872561,0 7.15207792892,47.0338923884,0 7.13907191883,47.0302155908,0 7.13350446596,47.0328547385,0 7.14741252106,47.0400789552,0 7.14067506921,47.0447395963,0 7.1638047925,47.0512297805,0 7.17588779241,47.0619545776,0 7.18731212195,47.0486030397,0 7.18453632272,47.0455562085,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,497,243,2,Lüscherz,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.16082630421,46.988699058,0 7.14746894767,46.9862637828,0 7.13882662729,46.9848200134,0 7.12817729996,47.003098931,0 7.13526560151,47.0030819867,0 7.1372727377,47.0086199773,0 7.14824150308,47.0086213938,0 7.16250251191,46.9950724606,0 7.16621162045,46.9974203889,0 7.17198124479,46.9927289792,0 7.16082630421,46.988699058,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,498,243,2,Müntschemier,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.19672180831,47.0168759195,0 7.18639695585,47.0250131159,0 7.18170308836,47.0381010667,0 7.18453632272,47.0455562085,0 7.18529537303,47.0436866973,0 7.20433509182,47.0475146991,0 7.20985679242,47.0397352419,0 7.21534317194,47.0400159843,0 7.21157567779,47.0378224945,0 7.21340959172,47.0304492861,0 7.19672180831,47.0168759195,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,499,243,2,Siselen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.15896989203,47.0193716339,0 7.16875788578,47.0217881597,0 7.18025714319,47.0105785056,0 7.17204407509,47.0012215634,0 7.17958121606,46.9953643784,0 7.17198124479,46.9927289792,0 7.16621162045,46.9974203889,0 7.16250251191,46.9950724606,0 7.14824150308,47.0086213938,0 7.15896989203,47.0193716339,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,500,243,2,Treiten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.08408662882,47.0144678524,0 7.05235301593,47.0227765386,0 7.06643040395,47.0320893295,0 7.08680575937,47.0350146149,0 7.09055633139,47.0349541217,0 7.09533761313,47.0280684887,0 7.08604855126,47.0201415448,0 7.08895474237,47.0182882512,0 7.08408662882,47.0144678524,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,501,243,2,Tschugg,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.09645523028,47.0240685254,0 7.10706165741,47.0405808023,0 7.12062364108,47.0393508607,0 7.14067506921,47.0447395963,0 7.14741252106,47.0400789552,0 7.13350446596,47.0328547385,0 7.13907191883,47.0302155908,0 7.11674665203,47.0297680727,0 7.10615861531,47.0228556776,0 7.09892961326,47.0218268505,0 7.09645523028,47.0240685254,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,502,243,2,Vinelz,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.44745406426,47.0487362372,0 7.44034673667,47.0502388502,0 7.43718763609,47.0544939715,0 7.44251901487,47.0598646108,0 7.44313828496,47.0679880301,0 7.45626421107,47.0645773699,0 7.45936911467,47.0586484738,0 7.44745406426,47.0487362372,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,532,243,2,Bangerten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.5239839545,47.1620817627,0 7.53985571911,47.1645338796,0 7.54664350947,47.1619369501,0 7.55991596501,47.1694353653,0 7.55480340817,47.1659771989,0 7.54417235492,47.1595373284,0 7.54587131772,47.1516823679,0 7.54563405509,47.1317836389,0 7.53473167515,47.1165630546,0 7.53812206962,47.1113245449,0 7.53649549944,47.108132359,0 7.53497988227,47.1079447125,0 7.52908823849,47.1147324155,0 7.52923315795,47.1225767735,0 7.52521321326,47.1225348609,0 7.51885030701,47.1156575256,0 7.51031403743,47.1180920075,0 7.5055770984,47.1241221103,0 7.51474766241,47.1314211731,0 7.51587561845,47.136665051,0 7.53057511377,47.1521722779,0 7.52270142646,47.1600676237,0 7.5239839545,47.1620817627,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",23,533,245,2,BA$?tterkinden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.49284143393,47.0941271664,0 7.49049826376,47.0958194768,0 7.49358475141,47.0997133307,0 7.49501862482,47.0976615618,0 7.50035544591,47.0989272956,0 7.51862036572,47.111654481,0 7.51884308633,47.1107817187,0 7.51709638684,47.1057181784,0 7.5269851838,47.1019147728,0 7.52748327104,47.0923336569,0 7.51183097968,47.0898256927,0 7.50370933324,47.0943285184,0 7.49284143393,47.0941271664,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,534,246,2,Büren zum Hof,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.46081936496,47.0309582502,0 7.44001757365,47.0366817413,0 7.44379420149,47.0373563726,0 7.44903324035,47.0474046976,0 7.46632452191,47.0417164406,0 7.4679940959,47.0384144709,0 7.46081936496,47.0309582502,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,535,246,2,Deisswil bei Münchenbuchsee,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.43271750633,47.0127518425,0 7.41662891846,47.0187321841,0 7.40489557994,47.0181444854,0 7.40334085535,47.0218774004,0 7.41004674236,47.0277717868,0 7.43247890631,47.0266958364,0 7.43807058831,47.0183746267,0 7.43271750633,47.0127518425,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,536,246,2,Diemerswil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.46868622518,47.0771063776,0 7.46730498008,47.0799494641,0 7.47149536114,47.084149517,0 7.47471333207,47.0908236167,0 7.49049826376,47.0958194768,0 7.49284143393,47.0941271664,0 7.49140729192,47.082280078,0 7.49021992513,47.0800945744,0 7.47895651654,47.0753131034,0 7.46868622518,47.0771063776,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,537,246,2,Etzelkofen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.52722697991,47.0806120432,0 7.50653387045,47.0882096226,0 7.49786056137,47.0822499949,0 7.49140729192,47.082280078,0 7.49284143393,47.0941271664,0 7.50370933324,47.0943285184,0 7.51183097968,47.0898256927,0 7.52748327104,47.0923336569,0 7.5269851838,47.1019147728,0 7.51709638684,47.1057181784,0 7.51884308633,47.1107817187,0 7.52979684817,47.1051331603,0 7.53497988227,47.1079447125,0 7.53649549944,47.108132359,0 7.54588514693,47.0922911044,0 7.55450383354,47.0879647137,0 7.56430237076,47.0818821689,0 7.56819548503,47.0742402352,0 7.56655725674,47.0719660591,0 7.55007551124,47.0802594685,0 7.54257409013,47.0829652533,0 7.52722697991,47.0806120432,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",22,538,246,2,Fraubrunnen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.49933404617,47.0690520547,0 7.48902842796,47.073330078,0 7.49021992513,47.0800945744,0 7.49140729192,47.082280078,0 7.49786056137,47.0822499949,0 7.50653387045,47.0882096226,0 7.52722697991,47.0806120432,0 7.52793230513,47.077076062,0 7.51565450921,47.064607342,0 7.49933404617,47.0690520547,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,539,246,2,Grafenried,
