geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.50327835646,47.2626669179,0 8.51484645882,47.2543547042,0 8.51550102577,47.2389735572,0 8.52345698171,47.2391508259,0 8.524363326,47.2369471322,0 8.51266240237,47.235104557,0 8.51398391403,47.2305399811,0 8.48498578343,47.2389488387,0 8.47341317652,47.2539154768,0 8.48577039702,47.2553962382,0 8.48851030315,47.2529422717,0 8.50035382792,47.2584835527,0 8.5017973934,47.262626608,0 8.50327835646,47.2626669179,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,12,101,1,Rifferswil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.4778614046,47.2944311506,0 8.48389160539,47.2984969835,0 8.48322692451,47.3111608197,0 8.49303768784,47.3136265312,0 8.48453001779,47.3175813637,0 8.48498292036,47.3251611177,0 8.48429540589,47.3380139903,0 8.47034483011,47.3495646813,0 8.47593202432,47.3550652652,0 8.4880650129,47.3540470225,0 8.49944536956,47.3458284413,0 8.5042422573,47.3215842934,0 8.50967805002,47.3109452942,0 8.51051250632,47.2886085552,0 8.50790530074,47.2871663454,0 8.48635961497,47.2935266048,0 8.48335062981,47.2897754323,0 8.47838864523,47.2902700903,0 8.4778614046,47.2944311506,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,13,101,1,Stallikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.48498292036,47.3251611177,0 8.47827968802,47.3288112013,0 8.46675113046,47.329319301,0 8.46680961031,47.3337269285,0 8.4614012654,47.3318677795,0 8.45633574233,47.336167755,0 8.46288983697,47.3377201068,0 8.45656166578,47.3459266193,0 8.4590210917,47.3513295967,0 8.47034483011,47.3495646813,0 8.48429540589,47.3380139903,0 8.48498292036,47.3251611177,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,14,101,1,Wettswil am Albis,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.67684112984,47.584647071,0 8.69198544871,47.591393171,0 8.69944711293,47.5897740033,0 8.70501985451,47.5831283133,0 8.70934581281,47.5838816203,0 8.71535922507,47.5895549363,0 8.70077669629,47.5942394658,0 8.70091287792,47.5977283623,0 8.704978731,47.5970093559,0 8.71992827216,47.6064077451,0 8.72618554249,47.6005991162,0 8.71866648793,47.5965622396,0 8.72740085624,47.5975180313,0 8.72678947858,47.5926040812,0 8.71914529894,47.5888474977,0 8.73540970998,47.5769360719,0 8.73151196925,47.573561143,0 8.71070729142,47.5791078682,0 8.70390908319,47.57334392,0 8.68751539128,47.5777497333,0 8.67684112984,47.584647071,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21,21,102,1,Adlikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.63736145055,47.6481033299,0 8.64068145205,47.6600780165,0 8.63491647053,47.6612799719,0 8.65761910571,47.6682133109,0 8.67139746398,47.6679959217,0 8.67001264713,47.6525292802,0 8.65783627987,47.6417641401,0 8.6544362474,47.6449932281,0 8.64684277159,47.6459000927,0 8.64583438203,47.6419525365,0 8.63911331333,47.6449277954,0 8.63736145055,47.6481033299,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,22,102,1,Benken ZH,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.59827551853,47.5488286999,0 8.58833492684,47.5567270734,0 8.56863439148,47.563937464,0 8.57315331753,47.5757586361,0 8.6022256502,47.573266576,0 8.61413391051,47.5695481527,0 8.61855388973,47.5680639294,0 8.61157929467,47.5622154931,0 8.61446170495,47.5555384012,0 8.60985026917,47.5482984904,0 8.59827551853,47.5488286999,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,23,102,1,Berg am Irchel,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.59827551853,47.5488286999,0 8.60985026917,47.5482984904,0 8.61446170495,47.5555384012,0 8.61157929467,47.5622154931,0 8.61855388973,47.5680639294,0 8.63229320636,47.5666728607,0 8.64983855674,47.5596900159,0 8.65425331968,47.543541168,0 8.63612291193,47.5284369237,0 8.6223146628,47.5388071628,0 8.61347362368,47.5367021572,0 8.6012199746,47.5419084068,0 8.59827551853,47.5488286999,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,24,102,1,Buch am Irchel,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.63736145055,47.6481033299,0 8.62937121136,47.6497507699,0 8.628694983,47.6552089755,0 8.61568651736,47.6629697081,0 8.60990537483,47.668299472,0 8.61280388726,47.6747019218,0 8.62352725606,47.6729918529,0 8.62856851017,47.6632162448,0 8.63491647053,47.6612799719,0 8.64068145205,47.6600780165,0 8.63736145055,47.6481033299,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,25,102,1,Dachsen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.65027823708,47.5876983543,0 8.66003862154,47.587712912,0 8.65912130766,47.5819382813,0 8.66596820644,47.5767473945,0 8.66447067625,47.570043352,0 8.66854925395,47.5642068207,0 8.66855958149,47.5635050334,0 8.64983855674,47.5596900159,0 8.63229320636,47.5666728607,0 8.63929973404,47.5790956526,0 8.65027823708,47.5876983543,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,26,102,1,Dorf,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.66132495361,47.6793377502,0 8.64217930492,47.6861672981,0 8.63341083288,47.6937239568,0 8.64535072787,47.695561574,0 8.66455763339,47.6872196801,0 8.67057035477,47.6862655333,0 8.6693106727,47.6790645214,0 8.66132495361,47.6793377502,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,27,102,1,Feuerthalen,
